sample_name	cell_state	depth	binned_depth	Total Classified Read	Prochlorococcus	Pro/Syn Ratio	Pro Abundance	Pro/Syn Ratio Condition	Pro Abundance Condition	Pro Count Condition	Sample Pass
SRR23969181	Free-living	25.0	45	7725905.0	2643162.0	139.909062036841	0.34211681349951883	True	True	True	True
KJ_100_101	Free-living	150.0	150	398730.0	10392.0	3.645036829182743	0.026062749228801446	True	True	False	True
SRR9178082	Free-living	100.0	150	17757699.0	7351369.0	197.3521879194631	0.41398207053740466	True	True	True	True
KJ_25	Particle-bound	75.0	75	283234.0	38227.0	30.21897233201581	0.13496614107063418	True	True	False	True
SRR23969197	Free-living	100.0	150	12934978.0	3116696.0	58.04659825303112	0.2409510089619016	True	True	True	True
SRR23969198	Free-living	5.0	5	13969333.0	3716853.0	125.4972819664382	0.26607233144202375	True	True	True	True
KJ_23	Particle-bound	75.0	75	480650.0	68003.0	32.42870767763472	0.14148132736918756	True	True	True	True
SRR23969199	Free-living	1000.0	1000	4441436.0	12153.0	7.881322957198444	0.002736277186027222	True	False	False	False
SRR23969200	Free-living	5.0	5	10757198.0	3182825.0	122.50115464552383	0.2958786293605454	True	True	True	True
KJ_22	Particle-bound	75.0	75	528398.0	76823.0	55.830668604651166	0.14538851396106722	True	True	True	True
SRR23969196	Free-living	75.0	75	7216119.0	2414058.0	101.9450168918919	0.3345368888733681	True	True	True	True
SRR23969201	Free-living	75.0	75	9278846.0	4408262.0	79.52127717146207	0.4750873115040383	True	True	True	True
KJ_127_128	Free-living	1000.0	1000	2554141.0	4862.0	8.559859154929578	0.001903575409501668	True	False	False	False
SRR23969203	Free-living	125.0	150	4832312.0	759689.0	20.873444154416816	0.15721025463587615	True	True	True	True
SRR23969204	Free-living	5.0	5	10285406.0	3641974.0	92.07134189503489	0.3540914184622367	True	True	True	True
KJ_126	Free-living	1000.0	1000	2039646.0	4230.0	8.041825095057034	0.002073889292553708	True	False	False	False
SRR23969205	Free-living	75.0	75	6816572.0	2373986.0	83.37088674275681	0.34826684145638015	True	True	True	True
SRR23969206	Free-living	75.0	75	14434263.0	5035709.0	143.84041246536606	0.3488719167719197	True	True	True	True
KJ_124_125	Free-living	1000.0	1000	371654.0	1565.0	4.184491978609626	0.0042109058425309565	True	True	False	True
SRR23969202	Free-living	25.0	45	5477905.0	2082626.0	86.15148506660049	0.38018658593020505	True	True	True	True
SRR23969195	Free-living	45.0	45	16386942.0	5878912.0	133.6875952245594	0.3587558923440383	True	True	True	True
